COUNTRIES,2006,2007,2008,2009,2010,2011
AUSTRIA,8.19,8.22,7.9,7.71,8.16,8.65
BELGIUM,8.6,9.05,6.8,5,4.81,5.73
BULGARIA,2.84,2.99,2.99,2.89,1.71,1.35
CZECH REP,2.66,2.37,2.17,2.08,2.04,2.51
GERMANY,11.16,11.42,11.38,11.34,11.56,11.6
DENMARK,7.65,8.07,8.57,7.43,8.49,8.18
ESTONIA,2.69,8.07,7.47,5.68,6.33,7.68
SPAIN,3.3,3.27,3.3,3.06,3.6,3.24
FINLAND,6.92,7.56,6.97,6.87,7.26,6.81
FRANCE,6.5,7,7.02,6.41,6.34,6.64
GREECE,3.27,3.29,4.5,3.65,3.51,2.41
HUNGARY,3.11,3.72,3.47,3.58,3.6,3.3
ITALY,3.87,3.37,3.38,3.49,3.77,4.06
IRELAND,7.64,12.38,3.09,2.82,2.75,2.55
LITHUANIA,5.7,6.34,6.08,5.39,5.58,5.8
POLAND,3.79,3.62,4.52,4.34,3.02,2.69
PORTUGAL,1.18,1.31,3.14,2.95,2.72,2.57
ROMANIA,2.08,2.19,2.25,2.81,2.36,2.55
SLOVENIA,5.23,5.56,5.47,6.12,6.49,6.56
SLOVAKIA,3.28,4.63,4.2,3,1.94,3.77
SWEDEN,6.39,6.74,6.58,6.43,6.51,6.22
UNITED KINGDOM,10.29,10.4,10.22,9.01,9.72,9.77
SWITZERLAND,10.05,10.47,10.77,10.35,10.51,10.55
NORWAY,8.83,9.44,9.65,9.45,9.44,9.24
AUSTRALIA,5.72,5.81,5.96,4.17,0,
BRAZIL,2.16,2.47,2.57,2.58,3.27,3.53
JAPAN,2.23,2.18,2.15,2.13,2.09,2.16
USA,5.46,5.18,5.14,5.28,0,
